Date,Time,R_P,FdRt,OzasD,Fd_S,Gob_1,Gob2,SumGOB,WBT1,WBT2,Sp
7/1/2019,05:00:00,6684.191733,210680.137,853.2999878,0.419999987,5514.941402,5399.865258,10914.80666,327.3831148,328.858905,9.800000191
7/1/2019,09:00:00,6692.058993,210101.6005,856.2000122,0.409999996,5759.778494,5643.721479,11403.49997,329.0085542,332.9574333,
7/1/2019,13:00:00,6692.95187,211603.4717,856.2000122,0.409999996,5620.733002,5489.557642,11110.29064,327.9890657,330.4257181,
7/1/2019,17:00:00,6691.753298,210921.7493,856.2000122,0.409999996,5549.267662,5426.398154,10975.66582,328.0643366,329.8200518,
7/1/2019,21:00:00,6691.481973,211191.4596,856.2000122,0.409999996,5511.799198,5390.329559,10902.12876,327.8082963,329.1801958,
7/2/2019,01:00:00,6690.962309,211011.6809,856.2000122,0.409999996,5539.251026,5411.803982,10951.05501,327.8124078,329.2933585,
7/2/2019,05:00:00,6692.872765,212037.9109,856.2000122,0.409999996,5628.464045,5501.333459,11129.7975,328.8635303,331.3902543,8.5
7/2/2019,09:00:00,6693.825424,211155.0277,856.7000122,0.449999988,5406.182695,5278.668078,10684.85077,328.9677964,329.3169291,
7/2/2019,13:00:00,6689.146994,214463.6456,856.7000122,0.449999988,5376.49044,5248.100711,10624.59115,328.0690726,328.0511745,
7/2/2019,17:00:00,6688.627909,212089.4105,856.7000122,0.449999988,5599.254334,5477.952495,11077.20683,329.0921727,331.3529075,
7/2/2019,21:00:00,6689.729046,211571.1539,856.7000122,0.449999988,5508.718327,5390.644296,10899.36262,329.5518364,331.22367,
7/3/2019,01:00:00,6691.042408,213655.6589,856.7000122,0.449999988,5413.934665,5285.213872,10699.14854,329.7165942,330.4157875,
7/3/2019,05:00:00,6702.085642,212477.3417,856.7000122,0.449999988,5528.499416,5391.994382,10920.4938,330.0102713,331.9738516,9.800000191
7/3/2019,09:00:00,6702.975937,213257.3797,857.7000122,0.460000008,5520.967644,5376.296403,10897.26405,330.0083411,331.9879487,
7/3/2019,13:00:00,6702.675162,212762.5736,857.7000122,0.460000008,5510.465459,5385.54758,10896.01304,329.9310772,331.8496508,
7/3/2019,17:00:00,6699.936452,212092.3932,857.7000122,0.460000008,5487.392875,5369.053593,10856.44647,329.8491589,331.4840755,
7/3/2019,21:00:00,6687.42026,202632.8387,857.7000122,0.460000008,5492.519025,5367.49217,10860.01119,329.9305338,330.6643833,
7/4/2019,01:00:00,6663.797006,190203.1783,857.7000122,0.460000008,5721.114857,5572.050043,11293.1649,330.1039324,331.6496976,
7/4/2019,05:00:00,6660.170742,188069.1301,857.7000122,0.460000008,5623.218234,5468.766002,11091.98424,329.1242848,329.6127935,10.10000038
7/4/2019,09:00:00,6641.845287,181519.0149,858.2999878,0.600000024,5699.162718,5530.408707,11229.57142,328.6379054,328.7199511,
7/4/2019,13:00:00,6620.939284,176573.3055,858.2999878,0.600000024,5744.094858,5567.979451,11312.07431,328.1920163,328.279612,
7/4/2019,17:00:00,6615.123825,171546.336,858.2999878,0.600000024,5784.605706,5595.162579,11379.76828,327.4810369,327.7467889,
7/4/2019,21:00:00,6616.399747,170630.8319,858.2999878,0.600000024,5818.438967,5626.81952,11445.25849,327.082667,327.5478362,
7/5/2019,01:00:00,6617.030151,170605.2506,858.2999878,0.600000024,5833.775318,5636.266811,11470.04213,326.1544641,326.6813137,
7/5/2019,05:00:00,6619.378591,171671.6389,858.2999878,0.600000024,5825.282814,5625.532072,11450.81489,326.2440047,326.9492047,3.700000048
7/5/2019,09:00:00,6625.213113,174698.4471,854.9000244,0.50999999,5764.011193,5575.602246,11339.61344,325.9930214,326.6746897,
7/5/2019,13:00:00,6564.759564,174197.7128,854.9000244,0.50999999,5681.982006,5495.160119,11177.14212,325.8596,326.4713535,
7/5/2019,17:00:00,6566.683783,175302.2823,854.9000244,0.50999999,5743.315167,5557.154217,11300.46938,325.4921598,326.5348612,
7/5/2019,21:00:00,6583.976478,188359.2582,854.9000244,0.50999999,5606.935834,5455.461686,11062.39752,326.4983611,327.5132722,
7/6/2019,01:00:00,6667.329667,193466.787,854.9000244,0.50999999,5664.044095,5505.757959,11169.80205,326.7315681,328.2810633,
7/6/2019,05:00:00,6668.860554,193431.3411,854.9000244,0.50999999,5688.311511,5530.555198,11218.86671,326.0823625,327.5481996,2.799999952
